Identifier (Email/name),Gender,Status,Attended,Attended_Before,Education,Job,Employer,LinkedIn,Tech_Background,How_Found,Expectations,Formated_Date,City,Venue,Type,Ticket_Quantity,fake_event_id
001df9cc3528f4510285ff96ef6269f4,Female,,Y,,"SIM-University at Buffalo (SUNY), Bachelor of Arts (Economics) - completing in Dec 2016","Student, SIM-University at Buffalo (SUNY), Bachelor of Arts (Economics) - completing in Dec 2016  SIM Data Analysis Club founding president (2015), project manager (2016)",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c79c3b57c00075625cddbb4f02edc36a,Female,,Y,,"Singapore Management University - Bachelor of Accountancy, Second Major in Corporate Communication",Currently doing the Web Development Immersive under General Assembly. Part time tuition teacher.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0a0cb90dcae1f08fa28750f3f3008ecf,Female,,Y,,Raffles Girls School  Year 1 2017,Student,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
79566d106ecc569a94dc9e4e1ebbd0da,Female,,Y,,"NTU, Master of Arts","P&G, Marketing",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
693b9f865f1e4f96150e419eb38ee465,Female,,Y,,"CLU, California (USA)  Masters degree in HR",Freelance Events Manager and aspiring entrepreneur,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
74fb8aa08b9812bb3df111b32c30f71e,Female,,Y,,Ngee Ann Polytechnic. Currently pursuing a diploma.,Currently interning at KPMG.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
7fa62115d59b8f9722cfb3df7b66c05a,Female,,Y,,"University of California Berkeley, BA Economics",Analytics Lead in an Advertising Agency. Primary role involves drawing insights from digital media spends.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
131182e8b6af60e0c1de6d7faf4149e3,Female,,Y,,"NUS, BA (Economics & Statistics)",360 marketing and marketing consultant consulting companies how to set-up and analyse data for their DM and marketing projects,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
359a071e6001894e1019627761945349,Female,,Y,,NUS,Full time student,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
8d902c66422f0838076562552e4f2823,Female,,Y,,Singapore Institute of Management - Royal Melbourne Institute of Technology. Bachelor of Business Management.,Essentra Pte Ltd as Marketing Analyst,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
37e90c3f5a24aaa6ad4a9b3001a83d67,Female,,Y,,Ngee Ann Poly   O-Level Certificate,DT Asia  Intern,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e41e7c6376276a166151c0e7110121aa,Female,,Y,,Nanyang Polytechnic  Diploma in Digital Media Design (Games),gumi Asia  Senior Product Executive,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
343d90143d681edb29e6eaf6f919bc6d,Female,,Y,,NUS BS (hons),functional consultant for SAP project in IT consulting firm,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
1d883e1b521ef4346aac88ffaf8900b5,Female,,Y,,"NTU, Masters in System and Project Management And Stevens Institute of Technology, Masters in System Engineering",Waiting for new job as project manager in a software company.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
7dc63391ee8609534ff16e647afa2e5d,Female,,Y,,"Btech,India","Singapore Management University, Software Development Engineer",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
4b4a762a16f543bc9e65f20dec250d7c,Female,,Y,,"Singapore, degree",Not working currently,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e870271428605825d6316e5d3fd80354,Female,,Y,,"Ntu, economics",Start up as cofounder,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
300450a65a3d0ade27b7b050e65f9404,Female,,Y,,"BSc(Hon) in Management Information Systems (MIS), University College Dublin, Ireland.","NUS. My title goes as Research Assistant, but my core role is a full stack web developer.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
3f20bbf92418c66887bc1367cb61efdd,Female,,Y,,Currently pursuing BSc Business Analytics at SIM University.,"Currently working at NCS as Finance Executive, mainly handling project accounting.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
8db1d429aebed176cc421b24ba71ece6,Female,,Y,,Charles Sturt University - Bachelor of IT,Hewlett Packard Enterprise - Software Engineer,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
4c8530381a63632ecfff16faeb468e1e,Female,,Y,,NTU - bachelor,NTU - student,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c7286ed7b390cfa7b189f58e63320a97,Female,,Y,,"NTU, Bachelor degree","Bloomberg, Data analyst",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
76aec45567efbcbe303eb71134ee5bef,Female,,Y,,Singapore Management University  Bachelor of Accountancy,"Climb Central, Marketing Manager",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c899f885ced674c16466fbc129f8ef52,Female,,Y,,Singapore Management University ( Bachelor of Science),I work as an investment analyst in the financial industry. My current role deals with the analysis of company credit with macroeconomic. industry specific and company data. I build financial models and assess company's credit quality through quantitative and qualitative data analysis.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
d41dd27fa7db08adf17c86f4217c5ec7,Female,,Y,,NUS ecommerce bachelor,Finance,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
2c9a57236aed91d8318d5754931fa25e,Female,,Y,,"National University of Singapore, Bachelor in Computer Engineering","honestbee Pte Ltd, QA Engineer",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
3dadbc623354c22caab2672e5dc6f1fa,Female,,Y,,"NTU, Bachelor","VersaFleet, Sales & Marketing Intern",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
cce894025b0ccda259aaab475a5a2f06,Female,,Y,,Degree in computer engineering,SAP SEnior Business Analyst,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
a1facc80282e94e23ca7e3791c25984d,Female,,Y,,"I have a Btech from LNMIIT, Jaipur. Currently, I am pursuing PhD at NTU, Singapore.","I am working as a Project Officer at NTU, Singapore.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0a2301307323a170c6f88219942718b6,Female,,Y,,Nanyan Technological University (NTU)  Bachelor of Computer Science,Oracle Financial Services Software  Applications Developer,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
36b7849d93990a9c1dc80acfc4db6c81,Female,,Y,,I went to Singapore Institute of Management. Highest degree completed: Bachelor's,I am an executive in the health care industry.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
b74460933fefff62d999c499060357dd,Female,,Y,,"SMU, Bachelor's.",Currently a student.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
b180e2a7d39f7c35732b12d49271c0b6,Female,,Y,,Yale-NUS College  Bachelors of Arts in Environmental Studies,I am currently a student doing my final year at Yale-NUS college.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c64d38bfa93707fdd41bb629132809d2,Female,,Y,,"NUS business school, bachelor",Credit analyst in a bank,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
5f82662c2b2f7739ebea069ed4708bcc,Female,,Y,,NUS-Master of Science (majoring in Transportation System and Management)  Central South University (majoring Traffic and Transport Engineering),A traffic consultancy company-Systra MVA Singapore  Current role as Traffic Planner/Engineer,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
01ed9eef34834660a8aebf145538162d,Female,,Y,,Nanyang Technological University Bachelor of Science in Mathematics and Economics,I am currently a civil servant dealing with research and data analytics.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
ffd7e72c1dc10fcdd3ff50b807e30b99,Female,,Y,,"NTU Singapore, Bachelor's Deg","STELOP, Mechanical Engineer",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
5288219b58858858e6c2041b00e88b33,Female,,Y,,"Singapore Management University, Bachelor's Degree","DBS Bank, relationship manager",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
9f0b35f74f0dbad0db4f6216e5caab31,Female,,Y,,"APIIT, Kuala Lumpur, Malaysia.  Degree in Computing.","Asiasoft, Database Administrator",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
4100c8e8ea54f6bfa00e8d55c756cfce,Female,,Y,,"NUS, Master degree of InfoComm Security","Credit Suisse, Business analyst",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
7cf31dad745d3a9d203c1d5a454c629e,Female,,Y,,"Ntu, bachelor in science","Planner, public utilities board",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
a938721f723bd6cb99cb06aa30d28d7c,Female,,Y,,"Singapore, master","Singapore, business analyst",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
60977c05227a7a12f40f62350be2465f,Female,,Y,,"Highest Qualification: Temasek Polytechnic, Biomedical Science  Currently Pursuing: SIM University, Business Analytics","Clinical Audit Associate Exec., SNEC",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
664d793a25b1be248ccc8af03df955c5,Female,,Y,,"NTU, Bachelor of Business (Honours)","Sephora digital pte ltd, seo/sem project manager",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e1d1b4ae4c47374b4350369b8f58062e,Female,,Y,,I'm currently in Singapore Management University pursuing a degree in social science,I'm a student,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
f8f031f160adad22627b14d41dc76691,Female,,Y,,"Nanyang Technological University, Bachelor of Business",-,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
3de92b80fc0da391c3091fc56471f5d5,Female,,Y,,"University of Adelaide, First Class Honours in International Business","Darktrace (cyber security firm), Marketing",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
800c84b3249dea41014ebd7b83501298,Female,,Y,,National University of Singapore  Master of Science in Quantitative Finance,Credit Suisse  Credit Risk,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0722f6e0c5b2a28027d6ce55ba622700,Female,,Y,,Nus  Bachelor,Synergix technologies   System analyst,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
61f92e5a970b278c39e92e2378a2902c,Female,,Y,,"Philippines, B.S.",Getronics; Operations Analyst,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e8e734df3b058f51b16e4482285a2f3a,Female,,Y,,"NTU, degree in Mathematics and Economics",Analytics team in MediaCom Singapore. Current role: Manager,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e5cebce53bbd529d96ba06176a40ac6f,Female,,Y,,"Unisim, diploma",Admin role,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
40fdbd35c395af985b4a491d0b2f730a,Female,,Y,,"University of Birmingham, BSc Business Management","Global Travel, Marketing",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
d4fee40e48d1fed362b36e29d70aaca9,Female,,Y,,Graduated from a Diploma in Electrical Engineering,"Senior Executive (Exams) at Lee Kong Chian School of Medicine, NTU",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
eefb75ebadce7eef3758caf0205a6266,Female,,Y,,I went to University Science Malaysia and the highest degree I completed is Bachelor in Technology (Hons).,"I'm currently working at Nugit, a company that perform data analysis on digital marketing, using AI. I'm a junior engineer there.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
084c849b77acf11d9d0065dbbdd25dba,Female,,Y,,NTU. Degree in economics.,Business intelligence analyst in an insurance firm,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
df28c0180d7c65b32903e250d22f09aa,Female,,Y,,Yale-NUS College (undergraduate level - currently Year 4),Still studying,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
1e3d2a1ff2763d0706458f32be643d21,Female,,Y,,Alr filled,Alr filled,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0c5d0ade58f4628802c19d7430c81a12,Female,,Y,,NUS. Bachelor of Science (Statistics),Analyst at a consulting firm,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
3acf110ab3afce43a74ebe22af69c5f6,Female,,Y,,"Singapore Polytechnic, Diploma in Business Administration","Private School, Admin Assistant & Customer Service Officer",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c8de75eb7064ac2d7a746ee632e9a7ea,Female,,Y,,UniSIM. Degree in IT,Unemployed,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
059b8930353463e71dc7ca790f4a768f,Female,,Y,,Singapore Management University  A levels,Student.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
5d4080df7a231dc21ca81f6e45b06352,Female,,Y,,Tampines JC for A levels.,Internship at SIM's Internal division doing research on Asian-Pacific relations.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
678e4cb8fddb42ff9ba81bc8d61636c2,Female,,Y,,"Schools:   University of Adelaide, Degree in Computer Science (Highest)  Temasek Polytechnic, Diploma in Computer Engineering","General Assembly, as a Teaching Assistant for the Web Development Immersive Bootcamp. Shifting to a software development role in December.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
7cc2e50227e3a1b6b0d65b1bc92e92ad,Female,,Y,,"NUS, Bachelor's degree","Canon Singapore, digital markerinf",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
8e4f0f3a0d89660eda78093dfb201d64,Female,,Y,,"NUS, Singapore - Bachelors","Worked as Photoshop Designer, Digital Marketer and Sales for Data Analytics Software",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
68b6fd451df8eb80d9df02144a0159b0,Female,,Y,,"School: Georgia Institute of Technology, USA  Degree: M.S. in Economics",Citibank.  Business Analyst.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
1e4e9c89594eaba6c7405d970fedc6c9,Female,,Y,,"The Hong Kong University of Science and Technology, BEng (Hons) Chemical Engineering","CarPal SG Pte Ltd, Business Development Intern",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
